buyer_week_before,clicked_buy_before,country,existing_buyer,made_purchase_before,saw_cart_before,spend_usd_next_14_days,user_added_credit_card,user_added_dcb,user_added_fop,user_added_gift_card,user_added_paypal,user_id,visit_before
1,1,TR,1,1,1,0.991332,0,1,1,0,0,1.03E+19,1
0,1,US,1,1,1,12.95,1,0,1,0,0,5.91E+18,1
8,1,IE,1,1,1,549.598824,1,0,1,1,0,1.22E+19,1
8,1,RU,1,1,1,6.234422,1,1,1,0,0,6.76E+18,1
0,1,US,1,0,1,20.99,1,1,1,0,0,1.31E+19,1
0,1,US,1,1,1,9.99,1,0,1,0,0,8.82E+18,1
2,1,MY,1,1,1,9.848832,0,1,1,0,0,1.64E+19,1
0,1,US,0,0,1,46.95,0,1,1,0,0,1.39E+18,1
7,1,TW,1,1,1,293.560893,1,1,1,0,0,4.05E+18,1
1,1,FR,1,1,1,5.609287,1,0,1,0,0,5.67E+18,1
0,1,US,1,0,1,5.34,1,0,1,0,0,1.18E+19,1
5,1,TH,1,1,1,104.000003,0,1,1,0,0,8.24E+18,1
0,0,US,1,0,1,122.92,1,0,1,0,0,1.67E+19,1
0,1,US,1,0,1,1.99,1,1,1,0,0,1.05E+19,1
0,1,US,1,1,1,17.96,1,0,1,0,0,8.15E+18,1
0,1,AU,1,1,1,10.07286,0,1,1,0,0,3.36E+18,1
0,1,US,1,0,1,17.275995,1,0,1,0,0,1.12E+19,1
1,1,GB,1,1,1,1.2749,1,0,1,0,0,7.22E+18,1
7,1,IT,1,1,1,7.060058,1,1,1,0,0,1.81E+18,1
0,1,US,1,1,1,4.99,1,0,1,1,1,1.12E+19,1
4,1,IE,1,1,1,30.141786,1,0,1,0,0,1.76E+19,1
4,1,GB,1,1,1,25.494756,1,0,1,1,0,3.79E+17,1
4,1,KR,1,1,1,15.526764,0,0,1,1,0,9.50E+18,1
7,1,JP,1,1,1,22.501562,0,1,1,0,0,1.20E+19,1
5,1,AR,1,1,1,95.17,1,0,1,0,0,4.51E+18,1
3,1,GB,1,1,1,6.370306,1,0,1,0,0,4.18E+18,1
3,1,FR,1,1,1,13.262056,0,1,1,0,1,1.36E+19,1
7,1,CH,1,1,1,102.457272,0,1,1,0,0,4.06E+17,1
0,0,US,1,0,0,4.18,1,0,1,0,0,1.37E+19,1
5,1,DE,1,1,1,17.903641,0,1,1,0,0,1.30E+19,1
0,1,US,1,0,1,44.98,1,0,1,0,0,1.36E+19,1
0,0,JP,1,0,1,6.503897,0,1,1,0,0,1.80E+19,1
0,0,IT,1,0,1,3.665506,0,1,1,0,0,4.68E+18,1
1,1,HK,1,1,1,89.731862,0,0,1,1,0,5.66E+18,1
